route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id,cemv_support
5438,1,5438,5438,,3,,,,0,1,1,0,0
5439,1,5439,5439,,3,,,,0,1,1,0,0
5440,1,5440,5440,,3,,,,0,1,1,0,0
5441,1,5441,5441,,3,,,,0,1,1,0,0
5446,1,5446,5446,,3,,,,0,1,1,0,0
5447,1,5447,5447,,3,,,,0,1,1,0,0
5455,1,5455,5455,,3,,,,0,1,1,0,0
5456,1,5456,5456,,3,,,,0,1,1,0,0
5457,1,5457,5457,,3,,,,0,1,1,0,0
5460,1,5460,5460,,3,,,,0,1,1,0,0
5462,1,5462,5462,,3,,,,0,1,1,0,0
5463,1,5463,5463,,3,,,,0,1,1,0,0
5464,1,5464,5464,,3,,,,0,1,1,0,0
5465,1,5465,5465,,3,,,,0,1,1,0,0
5467,1,5467,5467,,3,,,,0,1,1,0,0
5468,1,5468,5468,,3,,,,0,1,1,0,0
5469,1,5469,5469,,3,,,,0,1,1,0,0
5471,1,5471,5471,,3,,,,0,1,1,0,0
5472,1,5472,5472,,3,,,,0,1,1,0,0
5473,1,5473,5473,,3,,,,0,1,1,0,0
5474,1,5474,5474,,3,,,,0,1,1,0,0
5477,1,5477,5477,,3,,,,0,1,1,0,0
5478,1,5478,5478,,3,,,,0,1,1,0,0
5479,1,5479,5479,,3,,,,0,1,1,0,0
5480,1,5480,5480,,3,,,,0,1,1,0,0
5481,1,5481,5481,,3,,,,0,1,1,0,0
5488,1,5488,5488,,3,,,,0,1,1,0,0
5490,1,5490,5490,,3,,,,0,1,1,0,0
5491,1,5491,5491,,3,,,,0,1,1,0,0
5492,1,5492,5492,,3,,,,0,1,1,0,0
5493,1,5493,5493,,3,,,,0,1,1,0,0
5494,1,5494,5494,,3,,,,0,1,1,0,0
5496,1,5496,5496,,3,,,,0,1,1,0,0
5497,1,5497,5497,,3,,,,0,1,1,0,0
5498,1,5498,5498,,3,,,,0,1,1,0,0
5499,1,5499,5499,,3,,,,0,1,1,0,0
5500,1,5500,5500,,3,,,,0,1,1,0,0
5501,1,5501,5501,,3,,,,0,1,1,0,0
5534,1,5534,5534,,3,,,,0,1,1,0,0
5535,1,5535,5535,,3,,,,0,1,1,0,0
5536,1,5536,5536,,3,,,,0,1,1,0,0
5537,1,5537,5537,,3,,,,0,1,1,0,0
5538,1,5538,5538,,3,,,,0,1,1,0,0
5539,1,5539,5539,,3,,,,0,1,1,0,0
5543,1,5543,5543,,3,,,,0,1,1,0,0
5544,1,5544,5544,,3,,,,0,1,1,0,0
5545,1,5545,5545,,3,,,,0,1,1,0,0
5546,1,5546,5546,,3,,,,0,1,1,0,0
5547,1,5547,5547,,3,,,,0,1,1,0,0
5548,1,5548,5548,,3,,,,0,1,1,0,0
5549,1,5549,5549,,3,,,,0,1,1,0,0
5550,1,5550,5550,,3,,,,0,1,1,0,0
5551,1,5551,5551,,3,,,,0,1,1,0,0
5552,1,5552,5552,,3,,,,0,1,1,0,0
5553,1,5553,5553,,3,,,,0,1,1,0,0
5554,1,5554,5554,,3,,,,0,1,1,0,0
5555,1,5555,5555,,3,,,,0,1,1,0,0
5556,1,5556,5556,,3,,,,0,1,1,0,0
5557,1,5557,5557,,3,,,,0,1,1,0,0
5558,1,5558,5558,,3,,,,0,1,1,0,0
5564,1,5564,5564,,3,,,,0,1,1,0,0
5565,1,5565,5565,,3,,,,0,1,1,0,0
5568,1,5568,5568,,3,,,,0,1,1,0,0
5569,1,5569,5569,,3,,,,0,1,1,0,0
5580,1,5580,5580,,3,,,,0,1,1,0,0
5581,1,5581,5581,,3,,,,0,1,1,0,0
5583,1,5583,5583,,3,,,,0,1,1,0,0
5585,1,5585,5585,,3,,,,0,1,1,0,0
5586,1,5586,5586,,3,,,,0,1,1,0,0
5587,1,5587,5587,,3,,,,0,1,1,0,0
5588,1,5588,5588,,3,,,,0,1,1,0,0
5589,1,5589,5589,,3,,,,0,1,1,0,0
5591,1,5591,5591,,3,,,,0,1,1,0,0
5592,1,5592,5592,,3,,,,0,1,1,0,0
5593,1,5593,5593,,3,,,,0,1,1,0,0
5595,1,5595,5595,,3,,,,0,1,1,0,0
5596,1,5596,5596,,3,,,,0,1,1,0,0
5597,1,5597,5597,,3,,,,0,1,1,0,0
5598,1,5598,5598,,3,,,,0,1,1,0,0
5599,1,5599,5599,,3,,,,0,1,1,0,0
5600,1,5600,5600,,3,,,,0,1,1,0,0
5608,1,5608,5608,,3,,,,0,1,1,0,0
5609,1,5609,5609,,3,,,,0,1,1,0,0
5615,1,5615,5615,,3,,,,0,1,1,0,0
5616,1,5616,5616,,3,,,,0,1,1,0,0
5764,1,5764,5764,,3,,,,0,1,1,0,0
5765,1,5765,5765,,3,,,,0,1,1,0,0
5782,1,5782,5782,,3,,,,0,1,1,0,0
5798,1,5798,5798,,3,,,,0,1,1,0,0
5799,1,5799,5799,,3,,,,0,1,1,0,0
5800,1,5800,5800,,3,,,,0,1,1,0,0
5803,1,5803,5803,,3,,,,0,1,1,0,0
5805,1,5805,5805,,3,,,,0,1,1,0,0
5806,1,5806,5806,,3,,,,0,1,1,0,0
5807,1,5807,5807,,3,,,,0,1,1,0,0
5808,1,5808,5808,,3,,,,0,1,1,0,0
5809,1,5809,5809,,3,,,,0,1,1,0,0
5810,1,5810,5810,,3,,,,0,1,1,0,0
